ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
1,1,Conception Bay South,Newfoundland and Labrador,26200,Conception Bay South,26200,0.491412213740458,0.5085877862595419,0.9223748697174429,9.68054211035818e-4,0.0017424975798644724,0.007163601161665053,0.06620209059233449,0.001548886737657309,0.05436856161770317,0.06276230446394505,0.05894696680656238,0.05875619992369325,0.0528424265547501,0.055131629149179705,0.0675314765356734,0.07153758107592521,0.08031285768790537,0.0799313239221671,0.08107592521938191,0.07096528042731781,0.06619610835558946,0.05723006486074018,0.038344143456695914,0.022701259061426938,0.012399847386493705,0.008966043494849293,0.11064666830587656,0.14433243176788788,0.12564543889845095,0.11581017949348414,0.11433489058273912,0.1622817801819523,0.09491025325792968,0.03466928940250799,0.06565035652815343,0.03171871158101795,0.1623468426013195,0.6658812441093308,0.024976437323279924,0.14679547596606973
2,2,Portugal Cove-St. Philip's,Newfoundland and Labrador,8150,Portugal Cove-St. Philip's,8150,0.5006134969325153,0.49938650306748467,0.9217923385811715,0,0,0.009242144177449169,0.06896551724137931,0,0.06077348066298342,0.06998158379373849,0.0669122160834868,0.050951503990178025,0.0423572744014733,0.04788213627992634,0.06322897483118478,0.07612031921424187,0.09146715776550031,0.08532842234499693,0.07918968692449356,0.07427869858809086,0.06507059545733579,0.049723756906077346,0.03683241252302026,0.020257826887661142,0.011663597298956415,0.00798035604665439,0.10580747812251393,0.13206046141607,0.10739856801909307,0.10182975338106603,0.10182975338106603,0.16308671439936356,0.10580747812251393,0.0405727923627685,0.07875894988066826,0.06284805091487669,0.15567484662576686,0.5674846625766872,0.026840490797546013,0.25
3,3,Pouch Cove,Newfoundland and Labrador,2070,Pouch Cove,2070,0.48792270531400966,0.5120772946859904,0.9637681159420289,0,0.004830917874396135,0,0.03140096618357488,0,0.050724637681159424,0.06763285024154589,0.06521739130434782,0.06038647342995169,0.043478260869565216,0.05314009661835749,0.06521739130434782,0.0821256038647343,0.0821256038647343,0.07971014492753623,0.07729468599033816,0.07004830917874397,0.057971014492753624,0.05555555555555555,0.043478260869565216,0.01932367149758454,0.014492753623188406,0.012077294685990338,0.11764705882352941,0.17956656346749225,0.13312693498452013,0.12693498452012383,0.1238390092879257,0.14551083591331268,0.07739938080495357,0.030959752321981424,0.04643962848297214,0.018575851393188854,0.21005917159763313,0.6390532544378699,0.020710059171597635,0.1301775147928994
4,4,Flatrock,Newfoundland and Labrador,1680,Flatrock,1680,0.5089285714285714,0.49107142857142855,0.9317330789882718,0,0.005952380952380952,0,0.06231454005934718,0,0.07100591715976332,0.06804733727810651,0.05917159763313609,0.05917159763313609,0.04437869822485207,0.05621301775147929,0.09171597633136094,0.09763313609467456,0.08284023668639054,0.07692307692307693,0.07396449704142012,0.0650887573964497,0.0621301775147929,0.04142011834319527,0.029585798816568046,0.011834319526627219,0.005917159763313609,0.0029585798816568047,0.10687022900763359,0.1183206106870229,0.10687022900763359,0.1183206106870229,0.13358778625954199,0.1717557251908397,0.09923664122137404,0.030534351145038167,0.07633587786259542,0.03816793893129771,0.17843866171003717,0.654275092936803,0.026022304832713755,0.1412639405204461
5,5,Torbay,Newfoundland and Labrador,7900,Torbay,7900,0.48860759493670886,0.5113924050632911,0.9310344827586207,0.001277139208173691,0.006385696040868455,0.010855683269476373,0.04725415070242656,0.0031928480204342275,0.056329113924050635,0.0810126582278481,0.07151898734177216,0.05063291139240506,0.05506329113924051,0.05759493670886076,0.05443037974683544,0.08417721518987342,0.09746835443037975,0.08987341772151898,0.07531645569620253,0.06772151898734177,0.056962025316455694,0.043670886075949364,0.024050632911392405,0.015822784810126583,0.010759493670886076,0.007594936708860759,0.10477787091366303,0.1181894383906119,0.10980720871751885,0.11316010058675607,0.10896898575020955,0.16512992455993294,0.10813076278290025,0.041911148365465216,0.07544006705783739,0.054484492875104776,0.1241883116883117,0.622564935064935,0.022727272727272728,0.2305194805194805
6,6,Logy Bay-Middle Cove-Outer Cove,Newfoundland and Labrador,2220,Logy Bay-Middle Cove-Outer Cove,2220,0.5,0.5,0.9300530779086084,0,0,0.013513513513513514,0.056433408577878104,0,0.0472972972972973,0.060810810810810814,0.05855855855855856,0.06531531531531531,0.05630630630630631,0.033783783783783786,0.038288288288288286,0.06981981981981981,0.07207207207207207,0.09009009009009009,0.09009009009009009,0.09009009009009009,0.06981981981981981,0.06756756756756757,0.04054054054054054,0.02702702702702703,0.013513513513513514,0.009009009009009009,0.11204481792717087,0.12044817927170869,0.10644257703081232,0.08403361344537816,0.09243697478991597,0.16246498599439776,0.10084033613445378,0.0392156862745098,0.09803921568627451,0.08403361344537816,0.0975609756097561,0.5392953929539296,0.04607046070460705,0.3170731707317073
7,7,Bauline,Newfoundland and Labrador,455,Bauline,455,0.5222222222222223,0.4777777777777778,0.978021978021978,0,0,0,0.02197802197802198,0,0.06593406593406594,0.06593406593406594,0.054945054945054944,0.04395604395604396,0.04395604395604396,0.04395604395604396,0.07692307692307693,0.08791208791208792,0.06593406593406594,0.06593406593406594,0.07692307692307693,0.08791208791208792,0.08791208791208792,0.054945054945054944,0.04395604395604396,0.01098901098901099,0,0.02197802197802198,0.136986301369863,0.1506849315068493,0.136986301369863,0.1506849315068493,0.1095890410958904,0.1506849315068493,0.0684931506849315,0.0273972602739726,0.0547945205479452,0.0136986301369863,0.21333333333333335,0.6666666666666666,0.02666666666666667,0.09333333333333334
8,8,Paradise,Newfoundland and Labrador,21390,Paradise,21390,0.49205236091631605,0.507947639083684,0.9305228450306171,4.710315591144607e-4,0.0025906735751295338,0.004945831370701837,0.06146961846443712,0,0.0715120355223183,0.07641972423463426,0.06800654358494976,0.053517176910493104,0.05328347744800187,0.07595232530965179,0.08903949520916102,0.09090909090909091,0.09067539144659967,0.08062631455947651,0.06847394250993223,0.05468567422294929,0.04416919841084366,0.035522318298667914,0.018462257536807667,0.012619770974526759,0.008413180649684505,0.007712082262210797,0.09379869118105329,0.11000311623558741,0.09629167965098162,0.10065440947335619,0.10937986911810534,0.1664069803677158,0.1305702711124961,0.04985976939856653,0.09286382050483016,0.050171392957307576,0.12154031287605295,0.6251504211793021,0.027677496991576414,0.22563176895306858
9,9,St. John's,Newfoundland and Labrador,108860,St. John's,108860,0.4809847510564027,0.5190152489435973,0.8802442016717602,0.004528689481301648,0.013912881086885475,0.04005789252532798,0.04944439256699972,0.011811942667724918,0.04445669146688711,0.04799301919720768,0.04606411316248737,0.05116193625424818,0.0793147790943327,0.08427482318361348,0.07453844034169192,0.06654725819785065,0.06232203545512997,0.0662257738587306,0.07463029301001194,0.07293101864609167,0.06452649949481032,0.05662717001928906,0.04206852209056673,0.027785432166804444,0.019426839349683107,0.01910535501056306,0.13027615626403233,0.1662550516389762,0.14026717557251908,0.11495285136955545,0.10080826223619219,0.1334193982936686,0.0855410866636731,0.03002918724741805,0.058879658733722494,0.03957117198024248,0.14282609876677352,0.538925408811865,0.02721790623132504,0.2910305861900364
10,10,Mount Pearl,Newfoundland and Labrador,22960,Mount Pearl,22960,0.47723807449357436,0.5227619255064256,0.927268732146781,6.591957811470006e-4,0.0061524939573720065,0.00966820479015601,0.055372445616348055,8.789277081960009e-4,0.039634146341463415,0.0429006968641115,0.046167247386759584,0.05618466898954704,0.06685540069686412,0.06620209059233449,0.06358885017421603,0.06162891986062718,0.0627177700348432,0.07142857142857142,0.08950348432055749,0.08297038327526132,0.08209930313588851,0.06380662020905924,0.04355400696864112,0.027874564459930314,0.017421602787456445,0.015461672473867595,0.10708702449192288,0.14903595622720167,0.13809275664408546,0.12845231891610215,0.12480458572173007,0.16050026055237102,0.08858780614903596,0.028921313183949974,0.05002605523710266,0.024491922876498175,0.13555051650289746,0.6689342403628118,0.02821869488536155,0.1672965482489292
